router,accuracy_mean,accuracy_std,e2e_mean,e2e_std,p95_mean,qps_mean,cost_per_q_mean,cost_per_q_std,total_cost_mean,llm_calls_mean,retries_sum,rate_limit_429_sum
AgentRoute,0.8466666666666667,0.04618802153517011,2.285372591018677,0.1502042224330276,3.937308096885678,0.4384418508389252,0.00090624,1.4413868321862752e-05,0.045312,1.0,0,0
DyTopo,0.18666666666666668,0.05033222956847165,27.203222403526308,0.8824577246717951,36.28519987265269,0.036783242081585066,0.01525322,0.0005625922103975468,0.762661,12.286666666666667,0,0
EvoMAS,0.5466666666666667,0.023094010767585042,4.591940774917602,0.5962456595474885,8.891498744487762,0.22009764212603303,0.00222696,0.00021415462077667088,0.111348,1.7666666666666668,0,0
OI-MAS,0.5733333333333334,0.14189197769195172,6.00676366964976,0.29434410881810175,8.894367436567942,0.16668629378970787,0.0029719800000000004,0.0002147994143381214,0.148599,2.4933333333333336,0,0
RCR-Router,0.13333333333333333,0.06429100507328636,23.94607228914897,0.4390951201126563,30.093421856562298,0.04176531764457416,0.017933266666666666,0.00017782582976984192,0.8966633333333333,10.0,0,0
RopMura,0.24,0.07211102550927978,10.208675146102905,0.3080120631659489,14.815950791041049,0.09799124304838962,0.005022126666666666,9.10117670047848e-05,0.2511063333333333,5.026666666666666,0,0
